"TOA5","CR6","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-09-23 16:40:12.8",107852,5,0,6,0.16,-0.18,34.72,6.002133
"2025-09-23 16:40:12.85",107853,6,1,5.11,0.18,-0.53,34.67,5.113169
"2025-09-23 16:40:12.9",107854,1,10,5.63,0.25,-0.08,34.7,5.635548
"2025-09-23 16:40:12.95",107855,2,38,5.7,0.06,-0.18,34.69,5.700315
"2025-09-23 16:40:13",107856,3,0,5.65,0.17,0.08,34.67,5.652557
"2025-09-23 16:40:13.05",107857,4,0,5.79,0.21,0.17,34.69,5.793808
"2025-09-23 16:40:13.1",107858,5,0,5.84,0.12,-0.11,34.71,5.841233
"2025-09-23 16:40:13.15",107859,6,1,5.93,0.22,0.04,34.68,5.93408
"2025-09-23 16:40:13.2",107860,1,10,5.6,0.02,0.24,34.7,5.600036
"2025-09-23 16:40:13.25",107861,2,38,6,-0.11,0.15,34.69,6.001008
"2025-09-23 16:40:13.3",107862,3,0,5.94,-0.19,0.01,34.69,5.943038
"2025-09-23 16:40:13.35",107863,4,0,5.68,-0.23,0.02,34.68,5.684654
"2025-09-23 16:40:13.4",107864,5,0,5.21,0.17,0.08,34.7,5.212773
"2025-09-23 16:40:13.45",107865,6,1,4.78,0.02,-0.3,34.68,4.780042
"2025-09-23 16:40:13.5",107866,1,10,5.17,-0.15,-0.35,34.69,5.172175
"2025-09-23 16:40:13.55",107867,2,38,5.38,0.6,0.01,34.68,5.413354
"2025-09-23 16:40:13.6",107868,3,0,5.74,0.25,0.17,34.71,5.745441
"2025-09-23 16:40:13.65",107869,4,0,5.87,-0.1,0.11,34.7,5.870852
"2025-09-23 16:40:13.7",107870,5,0,5.63,-0.09,0.31,34.68,5.63072
"2025-09-23 16:40:13.75",107871,6,1,5.89,0.07,0.05,34.7,5.890416
"2025-09-23 16:40:13.8",107872,1,10,6,0.08,0.11,34.69,6.000534
"2025-09-23 16:40:13.85",107873,2,38,5.94,0.27,0.01,34.67,5.946133
"2025-09-23 16:40:13.9",107874,3,0,5.96,-0.15,0.23,34.68,5.961887
"2025-09-23 16:40:13.95",107875,4,0,5.93,-0.52,0.13,34.7,5.952755
"2025-09-23 16:40:14",107876,5,0,5.61,-0.16,-0.07,34.69,5.612281
"2025-09-23 16:40:14.05",107877,6,1,5.43,0.02,0.07,34.69,5.430037
"2025-09-23 16:40:14.1",107878,1,10,5.82,0.36,-0.13,34.7,5.831124
"2025-09-23 16:40:14.15",107879,2,38,5.88,0.41,-0.08,34.7,5.894277
"2025-09-23 16:40:14.2",107880,3,0,5.86,-0.11,-0.04,34.69,5.861032
"2025-09-23 16:40:14.25",107881,4,0,5.42,-0.46,-0.09,34.69,5.439485
"2025-09-23 16:40:14.3",107882,5,0,4.96,-0.22,-0.48,34.7,4.964877
"2025-09-23 16:40:14.35",107883,6,1,4.7,0.14,-0.15,34.7,4.702085
"2025-09-23 16:40:14.4",107884,1,10,5.22,-0.1,0.13,34.67,5.220958
"2025-09-23 16:40:14.45",107885,2,38,5.09,0.39,-0.31,34.68,5.104919
"2025-09-23 16:40:14.5",107886,3,0,5.33,-0.15,-0.14,34.7,5.33211
"2025-09-23 16:40:14.55",107887,4,0,5.75,-0.2,0.21,34.69,5.753477
"2025-09-23 16:40:14.6",107888,5,0,5.5,0.19,-0.41,34.7,5.503281
"2025-09-23 16:40:14.65",107889,6,1,5.22,0,-0.29,34.68,5.22
"2025-09-23 16:40:14.7",107890,1,10,5.35,0.21,0.12,34.7,5.35412
"2025-09-23 16:40:14.75",107891,2,38,5.76,-0.51,0.15,34.69,5.782534
"2025-09-23 16:40:14.8",107892,3,0,5.88,-0.18,-0.15,34.7,5.882754
